name,SW,HMM,HD,HMM_corrected
VC_1016,D,D,1,D
VC_1017,D,E,1,E
VC_1018,NE,NE,0,NE
VC_1020,n/a,NE,0,NE
VC_1021,NE,NE,0,NE
VC_1022,NE,NE,0,NE
VC_1023,NE,NE,0,NE
VC_1024,NE,NE,0,NE
VC_1025,NE,NE,0,NE
VC_1026,NE,NE,0,NE
VC_1027,NE,NE,0,NE
VC_1028,NE,NE,0,NE
VC_1029,NE,NE,0,NE
VC_1030,n/a,NE,1,NE
VC_1031,NE,NE,0,NE
VC_1032,n/a,NE,0,NE
VC_1033,NE,NE,0,NE
VC_1034,NE,NE,0,NE
VC_1035,NE,NE,0,NE
VC_1036,D,E,1,E
VC_1037,NE,NE,0,NE
VC_1038,NE,NE,0,NE
VC_1039,NE,NE,0,NE
VC_1040,NE,NE,0,NE
VC_1041,NE,NE,0,NE
VC_1042,NE,NE,0,NE
VC_1043,NE,NE,0,NE
VC_1044,NE,NE,0,NE
VC_1045,NE,NE,0,NE
VC_1046,NE,NE,0,NE
VC_1047,NE,NE,0,NE
VC_1048,NE,NE,0,NE
VC_1049,NE,NE,0,NE
VC_1050,NE,NE,0,NE
VC_1051,n/a,NE,0,NE
VC_1052,NE,NE,0,NE
VC_1053,NE,NE,0,NE
VC_1054,E,E,1,E
VC_1055,NE,NE,1,NE
VC_1056,NE,NE,0,NE
VC_1057,NE,NE,0,NE
VC_1058,NE,NE,0,NE
VC_1059,NE,NE,0,NE
VC_1060,D,NE,0,NE
VC_1061,NE,NE,0,NE
VC_1062,NE,NE,0,NE
VC_1063,NE,NE,0,NE
VC_1064,NE,NE,0,NE
VC_1065,NE,NE,0,NE
VC_1066,NE,NE,0,NE
VC_1067,NE,NE,0,NE
VC_1068,NE,S,0,S
VC_1069,NE,NE,0,NE
VC_1070,NE,NE,0,NE
VC_1071,NE,NE,0,NE
VC_1072,n/a,E,1,E
VC_1073,D,NE,0,NE
VC_1074,NE,NE,0,NE
VC_1075,NE,NE,0,NE
VC_1076,NE,NE,0,NE
VC_1077,NE,NE,0,NE
VC_1078,n/a,NE,0,NE
VC_1079,NE,NE,0,NE
VC_1080,NE,NE,0,NE
VC_1081,NE,NE,0,NE
VC_1082,NE,NE,0,NE
VC_1083,NE,NE,0,NE
VC_1084,NE,NE,0,NE
VC_1085,NE,NE,0,NE
VC_1086,NE,NE,0,NE
VC_1087,NE,NE,0,NE
VC_1088,NE,NE,0,NE
VC_1089,NE,NE,0,NE
VC_1090,n/a,NE,0,NE
VC_1091,NE,NE,0,NE
VC_1092,NE,NE,0,NE
VC_1093,NE,NE,0,NE
